Source Name,code,instruction,test_result.passed,cleared_code,idx
py_good_answer.csv,"def count_groups(lst):
    count = 0
    for i in range(len(lst)):
        if lst[i] != 0 and (i == 0 or lst[i-1] == 0):
            count += 1
    return count",Write Python program count number groups non-zero numbers separated zeros given list numbers.,3,"def count_groups(lst):
    count = 0
    for i in range(len(lst)):
        if lst[i] != 0 and (i == 0 or lst[i-1] == 0):
            count += 1
    return count",0
py_good_answer.csv,"class Node:  
    def __init__(self, data):  
        self.data = data  
        self.next = None  
    
class CircularLinkedList:  
    def __init__(self):  
        self.head = None  
    
    def add_to_empty(self, data):  
        if self.head is not None:  
            return  
        new_node = Node(data)  
        self.head = new_node  
        new_node.next = self.head  
    
    def add_at_end(self, data):  
        if self.head is None:  
            return self.add_to_empty(data)  
        new_node = Node(data)  
        cur = self.head  
        while cur.next != self.head:  
            cur = cur.next  
        cur.next = new_node  
        new_node.next = self.head  
    
    def search(self, x):  
        if self.head is None:  
            return None  
        cur = self.head  
        while True:  
            if cur.data == x:  
                return cur  
            cur = cur.next  
            if cur == self.head:  
                return None  
    
    def display(self):  
        if self.head is None:  
            return None  
        cur = self.head  
        while True:  
            print(cur.data, end =' ')  
            cur = cur.next  
            if cur == self.head:  
                break 
    
cllist = CircularLinkedList()  
cllist.add_to_empty(6)  
cllist.add_at_end(4)  
cllist.add_at_end(5)  
cllist.add_at_end(7)  
cllist.add_at_end(8)  
cllist.display()  
print()  
temp = cllist.search(7)  
print(temp.data)",Write Python program Search Element Circular Linked List,0,"class Node:  
    def __init__(self, data):  
        self.data = data  
        self.next = None  
class CircularLinkedList:  
    def __init__(self):  
        self.head = None  
    def add_to_empty(self, data):  
        if self.head is not None:  
            return  
        new_node = Node(data)  
        self.head = new_node  
        new_node.next = self.head  
    def add_at_end(self, data):  
        if self.head is None:  
            return self.add_to_empty(data)  
        new_node = Node(data)  
        cur = self.head  
        while cur.next != self.head:  
            cur = cur.next  
        cur.next = new_node  
        new_node.next = self.head  
    def search(self, x):  
        if self.head is None:  
            return None  
        cur = self.head  
        while True:  
            if cur.data == x:  
                return cur  
            cur = cur.next  
            if cur == self.head:  
                return None  
    def display(self):  
        if self.head is None:  
            return None  
        cur = self.head  
        while True:  
            print(cur.data, end =' ')  
            cur = cur.next  
            if cur == self.head:  
                break 
cllist = CircularLinkedList()  
cllist.add_to_empty(6)  
cllist.add_at_end(4)  
cllist.add_at_end(5)  
cllist.add_at_end(7)  
cllist.add_at_end(8)  
cllist.display()  
print()  
temp = cllist.search(7)  
print(temp.data)",1
py_good_answer.csv,"def count_elements_in_range(lst, low, high):
    count = 0
    for i in lst:
        if low <= i <= high:
            count += 1
    return count

lst = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
low = 3
high = 7

print(count_elements_in_range(lst, low, high))",Write Python program count number elements list within specified range.,3,"def count_elements_in_range(lst, low, high):
    count = 0
    for i in lst:
        if low <= i <= high:
            count += 1
    return count
lst = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
low = 3
high = 7
print(count_elements_in_range(lst, low, high))",2
py_1700_data.csv,"
def reverseAdd(nums):
    def reverse(num):
        return int(str(num)[::-1])
    
    final_arr = []
    for num in nums:
        final_arr.append(num + reverse(num))
    
    return len(set(final_arr))
","given array nums consisting positive integers. take integer array, reverse digits, add end array. apply operation original integers nums. Return number distinct integers final array.",1,"def reverseAdd(nums):
    def reverse(num):
        return int(str(num)[::-1])
    final_arr = []
    for num in nums:
        final_arr.append(num + reverse(num))
    return len(set(final_arr))
",3
py_1700_data.csv,"def minObstacles(grid):
    m = len(grid)
    n = len(grid[0])
    dp = [[float('inf') for j in range(n)] for i in range(m)]
    dp[0][0] = 0 if grid[0][0] == 0 else 1
    for i in range(1, m):
        dp[i][0] = dp[i-1][0] if grid[i][0] == 0 else dp[i-1][0]+1
    for j in range(1, n):
        dp[0][j] = dp[0][j-1] if grid[0][j] == 0 else dp[0][j-1]+1
    for i in range(1, m):
        for j in range(1, n):
            if grid[i][j] == 0:
                dp[i][j] = min(dp[i-1][j], dp[i][j-1])
            else:
                dp[i][j] = min(dp[i-1][j], dp[i][j-1]) + 1
    return dp[-1][-1]","given 0-indexed 2D integer array grid size x n. cell one two values: 0 represents empty cell, 1 represents obstacle may removed. move up, down, left, right empty cell. Return minimum number obstacles remove move upper left corner (0, 0) lower right corner (m - 1, n - 1).",2,"def minObstacles(grid):
    m = len(grid)
    n = len(grid[0])
    dp = [[float('inf') for j in range(n)] for i in range(m)]
    dp[0][0] = 0 if grid[0][0] == 0 else 1
    for i in range(1, m):
        dp[i][0] = dp[i-1][0] if grid[i][0] == 0 else dp[i-1][0]+1
    for j in range(1, n):
        dp[0][j] = dp[0][j-1] if grid[0][j] == 0 else dp[0][j-1]+1
    for i in range(1, m):
        for j in range(1, n):
            if grid[i][j] == 0:
                dp[i][j] = min(dp[i-1][j], dp[i][j-1])
            else:
                dp[i][j] = min(dp[i-1][j], dp[i][j-1]) + 1
    return dp[-1][-1]",4
py_1700_data.csv,"def is_anagram(t: str, s: str) -> bool:
    if len(s) != len(t):
        return False
    for char in t:
        if char not in s:
            return False
        if t.count(char) != s.count(char):
            return False
    return True","Given two strings t, return true anagram s, false otherwise. Anagram word phrase formed rearranging letters different word phrase, typically using original letters exactly once.",3,"def is_anagram(t: str, s: str) -> bool:
    if len(s) != len(t):
        return False
    for char in t:
        if char not in s:
            return False
        if t.count(char) != s.count(char):
            return False
    return True",5
py_1700_data.csv,"def kLengthApart(nums: List[int], k: int) -> bool:
    lastIdx = -1
    for i in range(len(nums)):
        if nums[i] == 1:
            if lastIdx != -1 and i - lastIdx - 1 < k:
                return False
            lastIdx = i
    return True","Given binary array nums integer k, return true 1's least k places away other, otherwise return false.",3,"def kLengthApart(nums: List[int], k: int) -> bool:
    lastIdx = -1
    for i in range(len(nums)):
        if nums[i] == 1:
            if lastIdx != -1 and i - lastIdx - 1 < k:
                return False
            lastIdx = i
    return True",6
py_1700_data.csv,"def max_consecutive_floors(bottom: int, top: int, special: List[int]) -> int:
    special_set = set(special)
    max_consecutive = 0
    current_consecutive = 0
    for i in range(bottom, top+1):
        if i not in special_set:
            current_consecutive += 1
            max_consecutive = max(max_consecutive, current_consecutive)
        else:
            current_consecutive = 0
    return max_consecutive","Alice manages company rented floors building office space. Alice decided floors special floors, used relaxation only. given two integers bottom top, denote Alice rented floors bottom top (inclusive). also given integer array special, special[i] denotes special floor Alice designated relaxation. Return maximum number consecutive floors without special floor.",3,"def max_consecutive_floors(bottom: int, top: int, special: List[int]) -> int:
    special_set = set(special)
    max_consecutive = 0
    current_consecutive = 0
    for i in range(bottom, top+1):
        if i not in special_set:
            current_consecutive += 1
            max_consecutive = max(max_consecutive, current_consecutive)
        else:
            current_consecutive = 0
    return max_consecutive",7
py_1700_data.csv,"def get_recipes_to_create(recipes, ingredients, supplies):
    recipes_to_create = []
    for i in range(len(recipes)):
        recipe_ingredients = ingredients[i]
        for ingredient in recipe_ingredients:
            if ingredient not in supplies:
                recipes_to_create.append(recipes[i])
                break
        else:
            supplies.extend(recipe_ingredients)
    return recipes_to_create","information n different recipes. given string array recipes 2D string array ingredients. ith recipe name recipes[i], create needed ingredients ingredients[i]. Ingredients recipe may need created recipes, i.e., ingredients[i] may contain string recipes. also given string array supplies containing ingredients initially have, infinite supply them. Return list recipes create. may return answer order. Note two recipes may contain ingredients.",0,"def get_recipes_to_create(recipes, ingredients, supplies):
    recipes_to_create = []
    for i in range(len(recipes)):
        recipe_ingredients = ingredients[i]
        for ingredient in recipe_ingredients:
            if ingredient not in supplies:
                recipes_to_create.append(recipes[i])
                break
        else:
            supplies.extend(recipe_ingredients)
    return recipes_to_create",8
py_1700_data.csv,"class Solution:
    def maxProduct(self, words: List[str]) -> int:
        res = 0
        for i in range(len(words)):
            for j in range(i+1, len(words)):
                if not set(words[i]) & set(words[j]): # check if no common letters
                    res = max(res, len(words[i]) * len(words[j])) # update maximum product
        return res","Given string array words, return maximum value length(word[i]) * length(word[j]) two words share common letters. two words exist, return 0.",0,"class Solution:
    def maxProduct(self, words: List[str]) -> int:
        res = 0
        for i in range(len(words)):
            for j in range(i+1, len(words)):
                if not set(words[i]) & set(words[j]): 
                    res = max(res, len(words[i]) * len(words[j])) 
        return res",9
py_1700_data.csv,"def longest_palindrome(word1, word2):
    def is_palindrome(s):
        return s == s[::-1]
    
    max_palindrome_length = 0
    for i in range(1, len(word1)+1):
        for j in range(1, len(word2)+1):
            subsequence1 = word1[:i]
            subsequence2 = word2[:j]
            combined = subsequence1 + subsequence2
            if is_palindrome(combined):
                max_palindrome_length = max(max_palindrome_length, len(combined))
                
    return max_palindrome_length","given two strings, word1 word2. want construct string following manner: Choose non-empty subsequence subsequence1 word1. Choose non-empty subsequence subsequence2 word2. Concatenate subsequences: subsequence1 + subsequence2, make string. Return length longest palindrome constructed described manner. palindromes constructed, return 0. subsequence string string made deleting (possibly none) characters without changing order remaining characters. palindrome string reads forward well backward.",3,"def longest_palindrome(word1, word2):
    def is_palindrome(s):
        return s == s[::-1]
    max_palindrome_length = 0
    for i in range(1, len(word1)+1):
        for j in range(1, len(word2)+1):
            subsequence1 = word1[:i]
            subsequence2 = word2[:j]
            combined = subsequence1 + subsequence2
            if is_palindrome(combined):
                max_palindrome_length = max(max_palindrome_length, len(combined))
    return max_palindrome_length",10
py_good_answer.csv,"from itertools import product 

def permute_with_repetitions(s, k):    
    for p in product(s, repeat=k): 
        print(''.join(p))
        
s = input(""Enter string: "")
k = int(input(""Enter number of repetitions: ""))
permute_with_repetitions(s, k)",Write Python program print permutations given repetition number characters given string.,0,"from itertools import product 
def permute_with_repetitions(s, k):    
    for p in product(s, repeat=k): 
        print(''.join(p))
s = input(""Enter string: "")
k = int(input(""Enter number of repetitions: ""))
permute_with_repetitions(s, k)",11
py_1700_data.csv,"class Solution:
    def largestTriangleArea(self, points: List[List[int]]) -> float:
        res = 0
        n = len(points)
        for i in range(n):
            for j in range(i+1, n):
                for k in range(j+1, n):
                    x1, y1 = points[i]
                    x2, y2 = points[j]
                    x3, y3 = points[k]
                    res = max(res, abs(x1*(y2-y3)+x2*(y3-y1)+x3*(y1-y2))/2)
        return res","Given array points X-Y plane points points[i] = [xi, yi], return area largest triangle formed three different points. Answers within 10-5 actual answer accepted.",3,"class Solution:
    def largestTriangleArea(self, points: List[List[int]]) -> float:
        res = 0
        n = len(points)
        for i in range(n):
            for j in range(i+1, n):
                for k in range(j+1, n):
                    x1, y1 = points[i]
                    x2, y2 = points[j]
                    x3, y3 = points[k]
                    res = max(res, abs(x1*(y2-y3)+x2*(y3-y1)+x3*(y1-y2))/2)
        return res",12
py_good_answer.csv,"
from collections import defaultdict

def count_k_distinct_substrings(s: str, k: int) -> int:
    if len(s) < k:
        return 0
    count = 0
    distinct_chars = defaultdict(int)
    start = 0
    for end in range(len(s)):
        distinct_chars[s[end]] += 1
        while len(distinct_chars) > k:
            distinct_chars[s[start]] -= 1
            if distinct_chars[s[start]] == 0:
                del distinct_chars[s[start]]
            start += 1
        if len(distinct_chars) == k:
            count += 1
    return count
",Write Python program count number substrings given string lowercase alphabets exactly k distinct (given) characters.,1,"from collections import defaultdict
def count_k_distinct_substrings(s: str, k: int) -> int:
    if len(s) < k:
        return 0
    count = 0
    distinct_chars = defaultdict(int)
    start = 0
    for end in range(len(s)):
        distinct_chars[s[end]] += 1
        while len(distinct_chars) > k:
            distinct_chars[s[start]] -= 1
            if distinct_chars[s[start]] == 0:
                del distinct_chars[s[start]]
            start += 1
        if len(distinct_chars) == k:
            count += 1
    return count
",13
