instruction,solution_code,test_code,file_source,metadata.index,metadata.Source Name,metadata.local index,metadata.GPT Answer,metadata.variant,metadata.test_folder_name,test_result.test_reliability,test_result.passed,test_result.failed,test_result.errors
Python Program Implement Counting Sort,"def counting_sort(arr, max_val):
    m = max_val + 1
    count = [0] * m                
    
    for a in arr:
        count[a] += 1              
    i = 0
    for a in range(m):            
        for c in range(count[a]):  
            arr[i] = a
            i += 1
    return arr","from typing import *
from collections import *
from math import *

def counting_sort(arr, max_val):
    m = max_val + 1
    count = [0] * m
    for a in arr:
        count[a] += 1
    i = 0
    for a in range(m):
        for c in range(count[a]):
            arr[i] = a
            i += 1
    return arr
def counting_sort(alist, largest):
    c = [0] * (largest + 1)
    for i in range(len(alist)):
        c[alist[i]] = c[alist[i]] + 1
    c[0] = c[0] - 1
    for i in range(1, largest + 1):
        c[i] = c[i] + c[i - 1]
    result = [None] * len(alist)
    for x in reversed(alist):
        result[c[x]] = x
        c[x] = c[x] - 1
    return result
def test_simple_case():
    assert counting_sort([3, 1, 2, 3, 4], 4) == counting_sort([3, 1, 2, 3, 4], 4)
def test_edge_case():
    assert counting_sort([10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0], 10) == counting_sort([10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0], 10)
def test_difficult_case():
    assert counting_sort([9, 3, 5, 4, 9, 1, 2, 7, 8, 1], 9) == counting_sort([9, 3, 5, 4, 9, 1, 2, 7, 8, 1], 9)",DATASET/DatasetTEST/variant_2_full.jsonl,4533,py_good_answer.csv,2759,"def counting_sort(arr, max_val):
    m = max_val + 1
    count = [0] * m                
    
    for a in arr:
        count[a] += 1              
    i = 0
    for a in range(m):            
        for c in range(count[a]):  
            arr[i] = a
            i += 1
    return arr",2,1,NO_TEST_PASSED,3,0,[]
Write Python program find shortest list values keys given dictionary.,"def find_shortest_keys(d):
    shortest = None
    for key, value in d.items():
        if shortest is None or len(value) < len(d[shortest]):
            shortest = key
    return shortest","from typing import *
from collections import *
from math import *

def find_shortest_keys(d):
    shortest = None
    for key, value in d.items():
        if shortest is None or len(value) < len(d[shortest]):
            shortest = key
    return shortest
def test(dictt):
    min_value = 1
    result = [k for k, v in dictt.items() if len(v) == min_value]
    return result
def test_single_shortest():
    dictt = {'a': [1], 'b': [1, 2], 'c': [1, 2, 3]}
    assert find_shortest_keys(dictt) == test(dictt)[0]
def test_multiple_shortest():
    dictt = {'a': [1], 'b': [1], 'c': [1, 2, 3]}
    assert sorted(find_shortest_keys(dictt)) == sorted(test(dictt))
def test_no_shortest():
    dictt = {}
    assert find_shortest_keys(dictt) == None
    assert test(dictt) == []",DATASET/DatasetTEST/variant_2_full.jsonl,2493,py_good_answer.csv,694,"
def find_shortest_keys(d):
    shortest = None
    for key, value in d.items():
        if shortest is None or len(value) < len(d[shortest]):
            shortest = key
    return shortest
",2,10,OK,2,1,"[""\x1b[1m\x1b[31mE       AssertionError: assert ['a'] == ['a', 'b']\x1b[0m"", '\x1b[1m\x1b[31mtest_solution.py\x1b[0m:20: AssertionError', ""\x1b[31mFAILED\x1b[0m test_solution.py::\x1b[1mtest_multiple_shortest\x1b[0m - AssertionError: assert ['a'] == ['a', 'b']""]"
"Given string expression numbers operators, return possible results computing different possible ways group numbers operators. may return answer order. test cases generated output values fit 32-bit integer number different results exceed 104.","def diffWaysToCompute(expression):
    if expression.isdigit():
        return [int(expression)]
    
    res = []
    for i in range(len(expression)):
        if expression[i] in ""+-*"":
            left = diffWaysToCompute(expression[:i])
            right = diffWaysToCompute(expression[i+1:])
            for l in left:
                for r in right:
                    if expression[i] == ""+"":
                        res.append(l + r)
                    elif expression[i] == ""-"":
                        res.append(l - r)
                    else:
                        res.append(l * r)
                        
    return res","from typing import *
from collections import *
from math import *

def diffWaysToCompute(expression):
    if expression.isdigit():
        return [int(expression)]
    res = []
    for i in range(len(expression)):
        if expression[i] in '+-*':
            left = diffWaysToCompute(expression[:i])
            right = diffWaysToCompute(expression[i + 1:])
            for l in left:
                for r in right:
                    if expression[i] == '+':
                        res.append(l + r)
                    elif expression[i] == '-':
                        res.append(l - r)
                    else:
                        res.append(l * r)
    return res
class Solution(object):

    def diffWaysToCompute(self, expression):
        result = []

        def helper(s, memo):
            result = []
            if s in memo:
                return memo[s]
            if s.isdigit():
                return [int(s)]
            symbols = ['+', '-', '*']
            for i in range(len(s)):
                cur = s[i]
                if cur in symbols:
                    left, right = (helper(s[:i], memo), helper(s[i + 1:], memo))
                    for l in left:
                        for r in right:
                            if s[i] == '+':
                                result.append(l + r)
                            elif s[i] == '-':
                                result.append(l - r)
                            else:
                                result.append(l * r)
            memo[s] = result
            return result
        ans = helper(expression, {})
        return ans
def test_simple_case():
    solution_instance = Solution()
    assert diffWaysToCompute('2-1-1') == solution_instance.diffWaysToCompute('2-1-1')
def test_edge_case():
    solution_instance = Solution()
    assert diffWaysToCompute('2*3-4*5') == solution_instance.diffWaysToCompute('2*3-4*5')
def test_difficult_case():
    solution_instance = Solution()
    assert diffWaysToCompute('3+5*2') == solution_instance.diffWaysToCompute('3+5*2')",DATASET/DatasetTEST/variant_2_full.jsonl,1068,py_1700_data.csv,1068,"def diffWaysToCompute(expression):
    if expression.isdigit():
        return [int(expression)]
    
    res = []
    for i in range(len(expression)):
        if expression[i] in ""+-*"":
            left = diffWaysToCompute(expression[:i])
            right = diffWaysToCompute(expression[i+1:])
            for l in left:
                for r in right:
                    if expression[i] == ""+"":
                        res.append(l + r)
                    elif expression[i] == ""-"":
                        res.append(l - r)
                    else:
                        res.append(l * r)
                        
    return res",2,1000,NO_TEST_PASSED,3,0,[]
Write Python program Program accept strings contains vowels,"def check_vowels(str):
    vowels = set('aeiouAEIOU')
    return any(char in vowels for char in str)
    
str1 = ""Hello World""
if(check_vowels(str1)):
    print(""String contains vowels."")
else:
    print(""String does not contain vowels."")","from typing import *
from collections import *
from math import *

def check_vowels(str):
    vowels = set('aeiouAEIOU')
    return any((char in vowels for char in str))
def check(string):
    string = string.lower()
    vowels = set('aeiou')
    s = set({})
    for char in string:
        if char in vowels:
            s.add(char)
        else:
            pass
    if len(s) == len(vowels):
        print('Accepted')
    else:
        print('Not Accepted')
def test_simple_case():
    assert check_vowels('Apple') == True
def test_edge_case():
    assert check_vowels('bcdfg') == False
def test_difficult_case():
    assert check_vowels('AeIoU') == True",DATASET/DatasetTEST/variant_2_full.jsonl,4104,py_good_answer.csv,2325,"def check_vowels(str):
    vowels = set('aeiouAEIOU')
    return any(char in vowels for char in str)
    
str1 = ""Hello World""
if(check_vowels(str1)):
    print(""String contains vowels."")
else:
    print(""String does not contain vowels."")",2,1002,NO_TEST_PASSED,3,0,[]
"given 0-indexed array nums n integers, integer k. k-radius average subarray nums centered index radius k average elements nums indices - k + k (inclusive). less k elements index i, k-radius average -1. Build return array avgs length n avgs[i] k-radius average subarray centered index i. average x elements sum x elements divided x, using integer division. integer division truncates toward zero, means losing fractional part. example, average four elements 2, 3, 1, 5 (2 + 3 + 1 + 5) / 4 = 11 / 4 = 2.75, truncates 2.","def k_radius_average(nums, k):
    avgs = []
    for i in range(len(nums)):
        total = 0
        count = 0
        for j in range(i-k, i+k+1):
            if j < 0 or j >= len(nums):
                total += -1
            else:
                total += nums[j]
                count += 1
        avgs.append(total // count)
    return avgs","from typing import *
from collections import *
from math import *

def k_radius_average(nums, k):
    avgs = []
    for i in range(len(nums)):
        total = 0
        count = 0
        for j in range(i - k, i + k + 1):
            if j < 0 or j >= len(nums):
                total += -1
            else:
                total += nums[j]
                count += 1
        avgs.append(total // count)
    return avgs
class Solution:

    def getAverages(self, nums: List[int], k: int) -> List[int]:
        k = 2 * k + 1
        res = [-1] * len(nums)
        l, curr = (0, 0)
        for r, num in enumerate(nums):
            curr += num
            if r - l + 1 > k:
                curr -= nums[l]
                l += 1
            if r - l + 1 == k:
                ind = (l + r) // 2
                res[ind] = curr // k
        return res
def test_simple_case():
    solution_instance = Solution()
    assert k_radius_average([1, 3, 4, 1, 2, 3], 2) == solution_instance.getAverages([1, 3, 4, 1, 2, 3], 2)
def test_edge_case():
    solution_instance = Solution()
    assert k_radius_average([100000], 0) == solution_instance.getAverages([100000], 0)
def test_difficult_case():
    solution_instance = Solution()
    assert k_radius_average([8], 3) == solution_instance.getAverages([8], 3)",DATASET/DatasetTEST/variant_2_full.jsonl,697,py_1700_data.csv,697,"def k_radius_average(nums, k):
    avgs = []
    for i in range(len(nums)):
        total = 0
        count = 0
        for j in range(i-k, i+k+1):
            if j < 0 or j >= len(nums):
                total += -1
            else:
                total += nums[j]
                count += 1
        avgs.append(total // count)
    return avgs",2,1004,NO_TEST_PASSED,1,2,"['\x1b[1m\x1b[31mE       AssertionError: assert [2, 2, 2, 2, 2, 1] == [-1, -1, 2, 2, -1, -1]\x1b[0m', '\x1b[1m\x1b[31mtest_solution.py\x1b[0m:35: AssertionError', '\x1b[1m\x1b[31mE       AssertionError: assert [2] == [-1]\x1b[0m', '\x1b[1m\x1b[31mtest_solution.py\x1b[0m:41: AssertionError', '\x1b[31mFAILED\x1b[0m test_solution.py::\x1b[1mtest_simple_case\x1b[0m - AssertionError: assert [2, 2, 2, 2, 2, 1] == [-1, -1, 2, 2, -1, -1]', '\x1b[31mFAILED\x1b[0m test_solution.py::\x1b[1mtest_difficult_case\x1b[0m - AssertionError: assert [2] == [-1]']"
"given hours, list number hours worked per day given employee. day considered tiring day number hours worked (strictly) greater 8. well-performing interval interval days number tiring days strictly larger number non-tiring days. Return length longest well-performing interval.","def longest_well_performing_interval(hours):
    cum_sum = 0
    d = {}
    res = 0
    for i, hour in enumerate(hours):
        cum_sum += 1 if hour > 8 else -1
        if cum_sum > 0:
            res = i + 1
        else:
            d.setdefault(cum_sum, i)
            if cum_sum - 1 in d:
                res = max(res, i - d[cum_sum - 1])
    return res","from typing import *
from collections import *
from math import *

def longest_well_performing_interval(hours):
    cum_sum = 0
    d = {}
    res = 0
    for i, hour in enumerate(hours):
        cum_sum += 1 if hour > 8 else -1
        if cum_sum > 0:
            res = i + 1
        else:
            d.setdefault(cum_sum, i)
            if cum_sum - 1 in d:
                res = max(res, i - d[cum_sum - 1])
    return res
class Solution:

    def longestWPI(self, hours: List[int]) -> int:
        n = len(hours)
        ans = 0
        prefix_sum = [0] * n
        d = {}
        for i in range(n):
            prefix_sum[i] = 1 if hours[i] > 8 else -1
            prefix_sum[i] += prefix_sum[i - 1]
            if prefix_sum[i] > 0:
                ans = i + 1
            elif prefix_sum[i] - 1 in d:
                j = d[prefix_sum[i] - 1]
                if i - j > ans:
                    ans = i - j
            if prefix_sum[i] not in d:
                d[prefix_sum[i]] = i
        return ans
def test_simple_case():
    solution_instance = Solution()
    assert longest_well_performing_interval([9, 6, 6, 8]) == solution_instance.longestWPI([9, 6, 6, 8])
def test_edge_case():
    solution_instance = Solution()
    assert longest_well_performing_interval([6, 6, 6, 8]) == solution_instance.longestWPI([6, 6, 6, 8])
def test_difficult_case():
    solution_instance = Solution()
    assert longest_well_performing_interval([9, 6, 7, 9, 5, 4, 8, 6, 4]) == solution_instance.longestWPI([9, 6, 7, 9, 5, 4, 8, 6, 4])",DATASET/DatasetTEST/variant_2_full.jsonl,1022,py_1700_data.csv,1022,"def longest_well_performing_interval(hours):
    cum_sum = 0
    d = {}
    res = 0
    for i, hour in enumerate(hours):
        cum_sum += 1 if hour > 8 else -1
        if cum_sum > 0:
            res = i + 1
        else:
            d.setdefault(cum_sum, i)
            if cum_sum - 1 in d:
                res = max(res, i - d[cum_sum - 1])
    return res",2,1006,NO_TEST_PASSED,3,0,[]
"Given array integers arr integer k. value arr[i] said stronger value arr[j] |arr[i] - m| > |arr[j] - m| median array. |arr[i] - m| == |arr[j] - m|, arr[i] said stronger arr[j] arr[i] > arr[j]. Return list strongest k values array. return answer arbitrary order. Median middle value ordered integer list. formally, length list n, median element position ((n - 1) / 2) sorted list (0-indexed). arr = [6, -3, 7, 2, 11], n = 5 median obtained sorting array arr = [-3, 2, 6, 7, 11] median arr[m] = ((5 - 1) / 2) = 2. median 6. arr = [-7, 22, 17,?3], n = 4 median obtained sorting array arr = [-7, 3, 17, 22] median arr[m] = ((4 - 1) / 2) = 1. median 3.","def getStrongest(arr, k):
    arr.sort()

    median = arr[(len(arr)-1)//2]

    arr.sort(key=lambda x: (abs(x-median), x), reverse=True)

    return arr[:k]","from typing import *
from collections import *
from math import *

def getStrongest(arr, k):
    arr.sort()
    median = arr[(len(arr) - 1) // 2]
    arr.sort(key=lambda x: (abs(x - median), x), reverse=True)
    return arr[:k]
class Solution:

    def getStrongest(self, arr: List[int], k: int) -> List[int]:
        n = len(arr)
        if n == 1:
            return arr[:k]
        elif n == k:
            return arr
        arr.sort()
        m = arr[(n - 1) // 2]
        res = []
        i, j = (0, n - 1)
        while i < j:
            if abs(arr[i] - m) > abs(arr[j] - m):
                res.append(arr[i])
                i += 1
            elif abs(arr[i] - m) < abs(arr[j] - m):
                res.append(arr[j])
                j -= 1
            elif arr[i] > arr[j]:
                res.append(arr[i])
                i += 1
            elif arr[i] < arr[j]:
                res.append(arr[j])
                j -= 1
            else:
                res.append(arr[i])
                i += 1
            if len(res) == k:
                return res
def test_simple_case():
    solution_instance = Solution()
    assert getStrongest([1, 2, 3, 4, 5], 2) == solution_instance.getStrongest([1, 2, 3, 4, 5], 2)
def test_edge_case():
    solution_instance = Solution()
    assert getStrongest([4, 5, 9, 3, 1], 3) == solution_instance.getStrongest([4, 5, 9, 3, 1], 3)
def test_difficult_case():
    solution_instance = Solution()
    assert getStrongest([-7, -5, -3, -1, 1], 4) == solution_instance.getStrongest([-7, -5, -3, -1, 1], 4)",DATASET/DatasetTEST/variant_2_full.jsonl,1092,py_1700_data.csv,1092,"def getStrongest(arr, k):
    arr.sort()

    median = arr[(len(arr)-1)//2]

    arr.sort(key=lambda x: (abs(x-median), x), reverse=True)

    return arr[:k]",2,1008,NO_TEST_PASSED,3,0,[]
"Nearly everyone used Multiplication Table. multiplication table size x n integer matrix mat mat[i][j] == * j (1-indexed). Given three integers m, n, k, return kth smallest element x n multiplication table.","def findKthNumber(m: int, n: int, k: int) -> int:
    left, right = 1, m * n
    while left < right:
        mid = (left + right) // 2
        count = 0
        for i in range(1, m + 1):
            count += min(mid // i, n)
        if count >= k:
            right = mid
        else:
            left = mid + 1
    return left","from typing import *
from collections import *
from math import *

def findKthNumber(m: int, n: int, k: int) -> int:
    left, right = (1, m * n)
    while left < right:
        mid = (left + right) // 2
        count = 0
        for i in range(1, m + 1):
            count += min(mid // i, n)
        if count >= k:
            right = mid
        else:
            left = mid + 1
    return left
class Solution:

    def findKthNumber(self, m: int, n: int, k: int) -> int:
        if k == 1:
            return 1
        if k == m * n:
            return m * n
        if n >= m:
            m, n = (n, m)
        left = 1
        right = m * n
        while right - left > 1:
            mid = (left + right) // 2
            mid_rank = 0
            num_cols = (mid - 1) // m
            residual = mid - num_cols * m
            mid_rank += num_cols * m
            flag = 0
            for i in range(num_cols + 1, n + 1):
                if i == mid:
                    mid_rank += 1
                    break
                else:
                    mid_rank += mid // i
                    if mid % i == 0:
                        flag = 1
            if flag == 1:
                if mid_rank == k:
                    return mid
                elif mid_rank > k:
                    right = mid
                else:
                    left = mid
            elif mid_rank >= k:
                right = mid
            else:
                left = mid
        return right
def test_middle_value():
    solution_instance = Solution()
    assert findKthNumber(3, 3, 5) == solution_instance.findKthNumber(3, 3, 5)
def test_edge_value():
    solution_instance = Solution()
    assert findKthNumber(2, 3, 6) == solution_instance.findKthNumber(2, 3, 6)
def test_bigger_range():
    solution_instance = Solution()
    assert findKthNumber(3, 4, 4) == solution_instance.findKthNumber(3, 4, 4)",DATASET/DatasetTEST/variant_2_full.jsonl,1454,py_1700_data.csv,1454,"def findKthNumber(m: int, n: int, k: int) -> int:
    left, right = 1, m * n
    while left < right:
        mid = (left + right) // 2
        count = 0
        for i in range(1, m + 1):
            count += min(mid // i, n)
        if count >= k:
            right = mid
        else:
            left = mid + 1
    return left",2,1009,NO_TEST_PASSED,3,0,[]
"n cars going destination along one-lane road. destination target miles away. given two integer array position speed, length n, position[i] position ith car speed[i] speed ith car (in miles per hour). car never pass another car ahead it, catch drive bumper bumper speed. faster car slow match slower car's speed. distance two cars ignored (i.e., assumed position). car fleet non-empty set cars driving position speed. Note single car also car fleet. car catches car fleet right destination point, still considered one car fleet. Return number car fleets arrive destination.","def carFleet(target: int, position: List[int], speed: List[int]) -> int:
    cars = sorted(zip(position, speed))
    time = [(target - p) / s for p, s in cars]
    fleet = 0
    while len(time) > 1:
        lead = time.pop()
        if lead < time[-1]:
            fleet += 1
        else:
            time[-1] = lead
    return fleet + bool(time)","from typing import *
from collections import *
from math import *

def carFleet(target: int, position: List[int], speed: List[int]) -> int:
    cars = sorted(zip(position, speed))
    time = [(target - p) / s for p, s in cars]
    fleet = 0
    while len(time) > 1:
        lead = time.pop()
        if lead < time[-1]:
            fleet += 1
        else:
            time[-1] = lead
    return fleet + bool(time)
class Solution:

    def carFleet(self, target: int, position: List[int], speed: List[int]) -> int:
        """"""
        sort the start position.
        the car behind can only catch up no exceed.
        so if the car start late and speed is faster, it will catch up the car ahead of itself and they become a fleet.
        there is a target(or desitination),so use arrive time to measure. 

        start late but arrive ealier means the car is behind and will catch up before arriving the destination.

        position  10  8  5  3  0
        distance  2   4  7  9  12
        speed.    2   4  1  3  1
        time.     1   1  7  3  12
                      ^     ^
                      |     |
                     catch  catch up the previous car before target, join the fleet
		stack = [1] , [1],[1,7],[1,7][1,7,12] 			 

        """"""
        stack = []
        for pos, v in sorted(zip(position, speed), reverse=True):
            dist = target - pos
            time = dist / v
            if not stack:
                stack.append(time)
            elif time > stack[-1]:
                stack.append(time)
        return len(stack)
def test_simple_case():
    solution_instance = Solution()
    assert carFleet(12, [10, 8, 5, 3, 0], [2, 4, 1, 3, 1]) == solution_instance.carFleet(12, [10, 8, 5, 3, 0], [2, 4, 1, 3, 1])
def test_edge_case():
    solution_instance = Solution()
    assert carFleet(10, [6, 4, 2, 1], [2, 1, 3, 4]) == solution_instance.carFleet(10, [6, 4, 2, 1], [2, 1, 3, 4])
def test_difficult_case():
    solution_instance = Solution()
    assert carFleet(20, [10, 8, 0, 5, 1], [4, 5, 8, 2, 3]) == solution_instance.carFleet(20, [10, 8, 0, 5, 1], [4, 5, 8, 2, 3])",DATASET/DatasetTEST/variant_2_full.jsonl,17,py_1700_data.csv,17,"def carFleet(target: int, position: List[int], speed: List[int]) -> int:
    cars = sorted(zip(position, speed))
    time = [(target - p) / s for p, s in cars]
    fleet = 0
    while len(time) > 1:
        lead = time.pop()
        if lead < time[-1]:
            fleet += 1
        else:
            time[-1] = lead
    return fleet + bool(time)",2,101,NO_TEST_PASSED,3,0,[]
Write Python Program Recursive Insertion Sort,"def insertionSortRecursive(arr,n): 
    if n<=1: 
        return
    insertionSortRecursive(arr,n-1) 
    last = arr[n-1] 
    j = n-2
    while (j>=0 and arr[j]>last): 
        arr[j+1] = arr[j] 
        j = j-1
    arr[j+1]=last 

arr = [12, 11, 13, 5, 6] 
n = len(arr) 
insertionSortRecursive(arr, n) 
for i in range(n): 
    print (""% d"" % arr[i])","from typing import *
from collections import *
from math import *

def insertionSortRecursive(arr, n):
    if n <= 1:
        return
    insertionSortRecursive(arr, n - 1)
    last = arr[n - 1]
    j = n - 2
    while j >= 0 and arr[j] > last:
        arr[j + 1] = arr[j]
        j = j - 1
    arr[j + 1] = last
def insertionSortRecursive(arr, n):
    if n <= 1:
        return
    insertionSortRecursive(arr, n - 1)
    last = arr[n - 1]
    j = n - 2
    while j >= 0 and arr[j] > last:
        arr[j + 1] = arr[j]
        j = j - 1
    arr[j + 1] = last
def test_simple_case():
    arr1, arr2 = ([5, 2, 4, 6, 3, 1], [5, 2, 4, 6, 3, 1])
    insertionSortRecursive(arr1, len(arr1))
    insertionSortRecursive(arr2, len(arr2))
    assert arr1 == arr2
def test_edge_case():
    arr1, arr2 = ([1], [1])
    insertionSortRecursive(arr1, len(arr1))
    insertionSortRecursive(arr2, len(arr2))
    assert arr1 == arr2
def test_difficult_case():
    arr1, arr2 = ([5, 4, 3, 2, 1], [5, 4, 3, 2, 1])
    insertionSortRecursive(arr1, len(arr1))
    insertionSortRecursive(arr2, len(arr2))
    assert arr1 == arr2",DATASET/DatasetTEST/variant_2_full.jsonl,3963,py_good_answer.csv,2181,"def insertionSortRecursive(arr,n): 
    if n<=1: 
        return
    insertionSortRecursive(arr,n-1) 
    last = arr[n-1] 
    j = n-2
    while (j>=0 and arr[j]>last): 
        arr[j+1] = arr[j] 
        j = j-1
    arr[j+1]=last 

arr = [12, 11, 13, 5, 6] 
n = len(arr) 
insertionSortRecursive(arr, n) 
for i in range(n): 
    print (""% d"" % arr[i])",2,1012,NO_TEST_PASSED,3,0,[]
